source name,characteristics[organism],characteristics[organism part],characteristics[strain/breed],characteristics[disease],characteristics[cell type],characteristics[treatment],characteristics[biological replicate],assay name,technology type,comment[technical replicate],comment[data file],comment[fraction identifier],comment[label],comment[instrument],comment[cleavage agent details],comment[fragment mass tolerance],comment[precursor mass tolerance],comment[reduction reagent],comment[alkylation reagent],comment[modification parameters],comment[modification parameters].1,comment[dissociation method],comment[collision energy],comment[file uri],Factor value[treatment],project_id,characteristics[growth stage],comment[cleavage agent details].1,comment[modification parameters].2,comment[modification parameters].3,Factor value[growth stage],characteristics[enrichment protocol],comment[compensation voltage],comment[tool metadata],characteristics[growth condition],characteristics[enrichment process],comment[label].1,comment[fractionation method],characteristics[isolate],Factor value[isolate],factor value[treatment],characteristics[plasmid],Factor value[plasmid],Factor value[strain/breed],Factor value[growth condition],characteristics[pathotype],characteristics[time],Factor value[time],Factor value[organism part],comment[fraction],comment[modification parameters].4,Factor value[fraction],Factor value[enrichment process],factor value[time],factor value[growth condition]
sample 539,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 539,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_25.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_25.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 540,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 540,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_26.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_26.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 541,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 541,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_27.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_27.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 542,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 542,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_28.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_28.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 543,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 543,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_29.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_29.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 544,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 544,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_3.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_3.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 545,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 545,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_30.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_30.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 546,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 546,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_31.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_31.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 547,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 547,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_32.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_32.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 548,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 548,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_33.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_33.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 549,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 549,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_34.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_34.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 550,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 550,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_35.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_35.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 551,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 551,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_36.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_36.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 552,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 552,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_37.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_37.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 553,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 553,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_38.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_38.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 554,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 554,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_39.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_39.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 555,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 555,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_4.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_4.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 556,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 556,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_40.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_40.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 557,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 557,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_41.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_41.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 558,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 558,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_42.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_42.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 559,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 559,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_43.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_43.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 560,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 560,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_44.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_44.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 561,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 561,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_45.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_45.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 562,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 562,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_46.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_46.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 563,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 563,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_47.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_47.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 564,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 564,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_48.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_48.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 565,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 565,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_49.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_49.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 566,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 566,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_5.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_5.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 567,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 567,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_50.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_50.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 568,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 568,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_51.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_51.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 569,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 569,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_52.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_52.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 570,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 570,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_53.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_53.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 571,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 571,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_54.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_54.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 572,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 572,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_55.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_55.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 573,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 573,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_56.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_56.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 574,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 574,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_57.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_57.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 575,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 575,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_58.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_58.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 576,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 576,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_59.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_59.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 577,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 577,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_6.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_6.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 578,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 578,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_60.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_60.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample 579,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Not applicable,Not available,run 579,Proteomic profiling by mass spectrometry,Not available,allSpectra.HCD.FTMS.secpep.sil0_61.apl,Not available,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),Not available,Not available,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.secpep.sil0_61.apl,,PXD026425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
