,source name,characteristics[organism],characteristics[organism part],characteristics[culture type],characteristics[strain/breed],characteristics[disease],characteristics[cell type],characteristics[biological replicate],assay name,technology type,comment[technical replicate],comment[data file],comment[fraction identifier],comment[label],comment[instrument],comment[cleavage agent details],comment[reduction reagent],comment[alkylation reagent],comment[modification parameters],comment[modification parameters].1,comment[modification parameters].2,comment[dissociation method],comment[collision energy],comment[file uri],Factor value[culture type],pride_id,filename,characteristics[treatment],comment[fragment mass tolerance],comment[precursor mass tolerance],Factor value[treatment],characteristics[growth stage],comment[cleavage agent details].1,comment[modification parameters].3,Factor value[growth stage],characteristics[isolate],Factor value[isolate],characteristics[plasmid],Factor value[plasmid],characteristics[growth condition],Factor value[strain/breed],Factor value[growth condition],characteristics[pathotype],comment[fractionation method],Factor value[organism part],characteristics[enrichment process],Factor value[enrichment process]
0,Sample 1,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 1,Proteomic profiling by mass spectrometry,Not available,Map-2-1.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-1.raw,,PXD022070,Map-2-1.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
1,Sample 2,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 2,Proteomic profiling by mass spectrometry,Not available,Map-2-2.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-2.raw,,PXD022070,Map-2-2.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
2,Sample 3,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 3,Proteomic profiling by mass spectrometry,Not available,Map-2-25.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-25.raw,,PXD022070,Map-2-25.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
3,Sample 4,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 4,Proteomic profiling by mass spectrometry,Not available,Map-2-26.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-26.raw,,PXD022070,Map-2-26.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
4,Sample 5,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 5,Proteomic profiling by mass spectrometry,Not available,Map-2-27.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-27.raw,,PXD022070,Map-2-27.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
5,Sample 6,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 6,Proteomic profiling by mass spectrometry,Not available,Map-2-28.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-28.raw,,PXD022070,Map-2-28.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
6,Sample 7,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 7,Proteomic profiling by mass spectrometry,Not available,Map-2-29.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-29.raw,,PXD022070,Map-2-29.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
7,Sample 8,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 8,Proteomic profiling by mass spectrometry,Not available,Map-2-3.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-3.raw,,PXD022070,Map-2-3.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
8,Sample 9,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 9,Proteomic profiling by mass spectrometry,Not available,Map-2-30.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-30.raw,,PXD022070,Map-2-30.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
9,Sample 10,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 10,Proteomic profiling by mass spectrometry,Not available,Map-2-4.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-4.raw,,PXD022070,Map-2-4.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
10,Sample 11,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 11,Proteomic profiling by mass spectrometry,Not available,Map-2-5.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-5.raw,,PXD022070,Map-2-5.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
11,Sample 12,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 12,Proteomic profiling by mass spectrometry,Not available,Map-2-6.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-6.raw,,PXD022070,Map-2-6.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
12,Sample 13,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 13,Proteomic profiling by mass spectrometry,Not available,Map-3-10.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-10.raw,,PXD022070,Map-3-10.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
13,Sample 14,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 14,Proteomic profiling by mass spectrometry,Not available,Map-3-11.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-11.raw,,PXD022070,Map-3-11.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
14,Sample 15,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 15,Proteomic profiling by mass spectrometry,Not available,Map-3-12.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-12.raw,,PXD022070,Map-3-12.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
15,Sample 16,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 16,Proteomic profiling by mass spectrometry,Not available,Map-3-13.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-13.raw,,PXD022070,Map-3-13.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
16,Sample 17,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 17,Proteomic profiling by mass spectrometry,Not available,Map-3-14.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-14.raw,,PXD022070,Map-3-14.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
17,Sample 18,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 18,Proteomic profiling by mass spectrometry,Not available,Map-3-15.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-15.raw,,PXD022070,Map-3-15.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
18,Sample 19,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 19,Proteomic profiling by mass spectrometry,Not available,Map-3-16.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-16.raw,,PXD022070,Map-3-16.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
19,Sample 20,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 20,Proteomic profiling by mass spectrometry,Not available,Map-3-17.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-17.raw,,PXD022070,Map-3-17.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
20,Sample 21,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 21,Proteomic profiling by mass spectrometry,Not available,Map-3-18.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-18.raw,,PXD022070,Map-3-18.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
21,Sample 22,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 22,Proteomic profiling by mass spectrometry,Not available,Map-3-19.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-19.raw,,PXD022070,Map-3-19.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
22,Sample 23,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 23,Proteomic profiling by mass spectrometry,Not available,Map-3-1re.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-1re.raw,,PXD022070,Map-3-1re.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
23,Sample 24,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 24,Proteomic profiling by mass spectrometry,Not available,Map-3-2.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-2.raw,,PXD022070,Map-3-2.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
24,Sample 25,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 25,Proteomic profiling by mass spectrometry,Not available,Map-3-20.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-20.raw,,PXD022070,Map-3-20.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
25,Sample 26,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 26,Proteomic profiling by mass spectrometry,Not available,Map-3-21.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-21.raw,,PXD022070,Map-3-21.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
26,Sample 27,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 27,Proteomic profiling by mass spectrometry,Not available,Map-3-22.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-22.raw,,PXD022070,Map-3-22.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
27,Sample 28,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 28,Proteomic profiling by mass spectrometry,Not available,Map-3-23.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-23.raw,,PXD022070,Map-3-23.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
28,Sample 29,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 29,Proteomic profiling by mass spectrometry,Not available,Map-3-24.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-24.raw,,PXD022070,Map-3-24.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
29,Sample 30,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 30,Proteomic profiling by mass spectrometry,Not available,Map-3-3.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-3.raw,,PXD022070,Map-3-3.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
30,Sample 31,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 31,Proteomic profiling by mass spectrometry,Not available,Map-3-4.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-4.raw,,PXD022070,Map-3-4.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
31,Sample 32,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 32,Proteomic profiling by mass spectrometry,Not available,Map-3-5.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-5.raw,,PXD022070,Map-3-5.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
32,Sample 33,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 33,Proteomic profiling by mass spectrometry,Not available,Map-3-6.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-6.raw,,PXD022070,Map-3-6.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
33,Sample 34,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 34,Proteomic profiling by mass spectrometry,Not available,Map-3-7.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-7.raw,,PXD022070,Map-3-7.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
34,Sample 35,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 35,Proteomic profiling by mass spectrometry,Not available,Map-3-8.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-8.raw,,PXD022070,Map-3-8.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
35,Sample 36,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 36,Proteomic profiling by mass spectrometry,Not available,Map-3-9.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-9.raw,,PXD022070,Map-3-9.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
36,Sample 37,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 37,Proteomic profiling by mass spectrometry,Not available,Map-4-10.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-10.raw,,PXD022070,Map-4-10.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
37,Sample 38,Escherichia coli,Cell lysate,,Escherichia coli BW25993,Not applicable,Prokaryotic cell,Not available,Run 38,Proteomic profiling by mass spectrometry,Not available,Map-4-11.raw,Not available,Label free sample,NT=Q Exactive Plus,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,"NT=Deamidation; MT=Variable; TA=N,Q",NT=HCD; AC=MS:1002481,,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-11.raw,,PXD022070,Map-4-11.raw,Not available,0.02 Da,10 ppm,,,,,,,,,,,,,,,,,
